2026-03-16 14:51:08.562 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 14:51:08.590 [main] INFO  [] com.chen404.Chen404Application - Starting Chen404Application using Java 17.0.1 with PID 26172 (D:\code_repo\Chen404\Chen404Bac\target\classes started by Chen in D:\code_repo\Chen404\Chen404Bac)
2026-03-16 14:51:08.591 [main] INFO  [] com.chen404.Chen404Application - No active profile set, falling back to 1 default profile: "default"
2026-03-16 14:51:09.509 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 14:51:09.597 [main] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 初始化完成
2026-03-16 14:51:10.454 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 14:51:10.475 [main] INFO  [] com.chen404.Chen404Application - Started Chen404Application in 2.281 seconds (process running for 2.703)
2026-03-16 14:51:54.495 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 销毁
2026-03-16 14:54:12.328 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 14:54:12.351 [main] INFO  [] com.chen404.Chen404Application - Starting Chen404Application using Java 17.0.1 with PID 36068 (D:\code_repo\Chen404\Chen404Bac\target\classes started by Chen in D:\code_repo\Chen404\Chen404Bac)
2026-03-16 14:54:12.351 [main] INFO  [] com.chen404.Chen404Application - No active profile set, falling back to 1 default profile: "default"
2026-03-16 14:54:13.199 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 14:54:13.276 [main] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 初始化完成
2026-03-16 14:54:14.000 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 14:54:14.018 [main] INFO  [] com.chen404.Chen404Application - Started Chen404Application in 2.001 seconds (process running for 2.355)
2026-03-16 14:56:35.966 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 销毁
2026-03-16 14:56:40.841 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 14:56:40.867 [main] INFO  [] com.chen404.Chen404Application - Starting Chen404Application using Java 17.0.1 with PID 34804 (D:\code_repo\Chen404\Chen404Bac\target\classes started by Chen in D:\code_repo\Chen404\Chen404Bac)
2026-03-16 14:56:40.868 [main] INFO  [] com.chen404.Chen404Application - No active profile set, falling back to 1 default profile: "default"
2026-03-16 14:56:41.652 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 14:56:41.728 [main] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 初始化完成
2026-03-16 14:56:42.435 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 14:56:42.452 [main] INFO  [] com.chen404.Chen404Application - Started Chen404Application in 1.935 seconds (process running for 2.35)
2026-03-16 14:58:59.866 [SpringApplicationShutdownHook] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 销毁
2026-03-16 14:59:18.208 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-16 14:59:18.230 [main] INFO  [] com.chen404.Chen404Application - Starting Chen404Application using Java 17.0.1 with PID 20440 (D:\code_repo\Chen404\Chen404Bac\target\classes started by Chen in D:\code_repo\Chen404\Chen404Bac)
2026-03-16 14:59:18.230 [main] INFO  [] com.chen404.Chen404Application - No active profile set, falling back to 1 default profile: "default"
2026-03-16 14:59:19.054 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 14:59:19.145 [main] INFO  [] com.chen404.filter.TraceIdFilter - TraceIdFilter 初始化完成
2026-03-16 14:59:19.145 [main] INFO  [] com.chen404.filter.RequestBodyCacheFilter - RequestBodyCacheFilter 初始化完成
